Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
SMBHX3G1,Bomba Herbal XL x3gr Limpieza energetica,SAGRADA MADRE,0,1,$-,"$1.132,08"
SMBHX3G2,Bomba Herbal XL x3gr Purificacion energetica,SAGRADA MADRE,0,1,$-,"$1.132,08"
SMPA1,Perlas aromaticas Vainilla,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA2,Perlas aromaticas Frutilla,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA3,Perlas aromaticas Jazmin,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA4,Perlas aromaticas Lavanda,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA5,Perlas aromaticas Rosa,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA6,Perlas aromaticas Flores,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA7,Perlas aromaticas Coco,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA8,Perlas aromaticas Primavera,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA9,Perlas aromaticas Limon,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA10,Perlas aromaticas Hindu,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA11,Perlas aromaticas Reina de la noche,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA12,Perlas aromaticas Sandalo,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMPA13,Perlas aromaticas Surtidas - 1 de cada aroma,SAGRADA MADRE,0,1,$-,"$13.814,49"
SMSC1,Sahumo chico Limpieza energetica,SAGRADA MADRE,0,1,$-,"$705,40"
SMSD1,Sahumerio duo 7 Poderes-Renacer,SAGRADA MADRE,0,1,$-,"$1.175,93"
SMSD2,Sahumerio duo Fortuna-Purificacion,SAGRADA MADRE,0,1,$-,"$1.175,93"
SMSD3,Sahumerio duo Limpieza-Armonia,SAGRADA MADRE,0,1,$-,"$1.175,93"
SMSD4,Sahumerio duo Sanar-Destrabar,SAGRADA MADRE,0,1,$-,"$1.175,93"
SMEL1,Sahumerio Energia limpia Revitalizar,SAGRADA MADRE,0,1,$-,"$1.149,21"
SMEL2,Sahumerio Energia limpia Armonizar,SAGRADA MADRE,0,1,$-,"$1.149,21"
SMEL3,Sahumerio Energia limpia Renacer,SAGRADA MADRE,0,1,$-,"$1.149,21"
SMEL4,Sahumerio Energia limpia Sanar,SAGRADA MADRE,0,1,$-,"$1.149,21"
SMOL111,Oleum Equilibrio x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL12,Oleum Revitalizante x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL123,Oleum Purificacion x 10 ml,SAGRADA MADRE,0,1,$-,"$7.697,09"
SMOL13,Oleum Relajante x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL13A,Oleum Concentracion x 10 ml,SAGRADA MADRE,0,1,$-,"$7.697,09"
SMOL21,Oleum Calma x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL2111,Oleum Armonia x 10 ml,SAGRADA MADRE,0,1,$-,"$7.697,09"
SMOL22,Oleum Afrodisiaco x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL221,Oleum Limpieza energetica x 10 ml,SAGRADA MADRE,0,1,$-,"$7.697,09"
SMOL22A,Oleum Energia renovada x 10 ml,SAGRADA MADRE,0,1,$-,"$6.017,81"
SMOL311,Oleum Amor x 10 ml,SAGRADA MADRE,0,1,$-,"$7.697,09"
SMSEP1,Sahumerio en polvo Jazmin 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP2,Sahumerio en polvo Vainilla 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP3,Sahumerio en polvo Lavanda 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP4,Sahumerio en polvo Sandalo 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP5,Sahumerio en polvo 7 Poderes 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP6,Sahumerio en polvo Limpieza energetica 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP7,Sahumerio en polvo Yagra 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP8,Sahumerio en polvo Alcanfor 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP9,Sahumerio en polvo Benjui 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP10,Sahumerio en polvo Rosa 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP11,Sahumerio en polvo Citronella 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSEP12,Sahumerio en polvo Palo santo 60gr,SAGRADA MADRE,0,1,$-,"$1.175,80"
SMSB1,Sahumerio botanico- Gardenias-calendula,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB2,Sahumerio botanico- Jazmin-Rosas,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB3,Sahumerio botanico- Lavanda-Rosas,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB4,Sahumerio botanico- Te verde-Flor de champa,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB5,Sahumerio botanico- Magnolia,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB6,Sahumerio botanico- Fresias,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB7,Sahumerio botanico- Nardo incienso,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMSB8,Sahumerio botanico- Clavo de olor,SAGRADA MADRE,0,1,$-,"$1.019,35"
SMS5E1,Sahumerio 5 Elementos - Alegria,SAGRADA MADRE,0,1,$-,"$1.097,54"
SMS5E2,Sahumerio 5 Elementos - Armonia,SAGRADA MADRE,0,1,$-,"$1.097,54"
SMS5E3,Sahumerio 5 Elementos - Claridad,SAGRADA MADRE,0,1,$-,"$1.097,54"
SMS5E4,Sahumerio 5 Elementos - Fuego,SAGRADA MADRE,0,1,$-,"$1.097,54"
SMS5E5,Sahumerio 5 Elementos - Renacer,SAGRADA MADRE,0,1,$-,"$1.097,54"
SMSY1,Sahumerio Yagra - Violetas lavanda,SAGRADA MADRE,0,1,$-,"$1.146,76"
SMSY2,Sahumerio Yagra - Rosas y vainilla,SAGRADA MADRE,0,1,$-,"$1.146,76"
SMSY3,Sahumerio Yagra - Orquideas y laurel,SAGRADA MADRE,0,1,$-,"$1.146,76"
SMSY4,Sahumerio Yagra - Manzanilla y olibano,SAGRADA MADRE,0,1,$-,"$1.146,76"
SMSGBM,Sahumerio Gaia Blend Masala,SAGRADA MADRE,0,1,$-,"$2.055,45"
SMSMBM,Sahumerio Maha Blend Masala,SAGRADA MADRE,0,1,$-,"$2.055,45"
SMSAX301,Sahumerio Artesano - Palo santo,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX302,Sahumerio Artesano - Palo santo / vainilla,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX303,Sahumerio Artesano - Palo santo / rosa,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX304,Sahumerio Artesano - Palo santo / lavanda,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX305,Sahumerio Artesano - Palo santo / champa,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX306,Sahumerio Artesano - Palo santo / jazmin,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX307,Sahumerio Artesano - Palo santo / Jengibre,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX308,Sahumerio Artesano - Copal,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX309,Sahumerio Artesano - Lavanda,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX310,Sahumerio Artesano - Flor arbol paraiso,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX311,Sahumerio Artesano - Sangre de dragon,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX312,"Sahumerio Artesano - Ruda, romero incienso",SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX313,Sahumerio Artesano - Reina de la noche lavanda,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX314,Sahumerio Artesano - Gardenias calendula,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX315,Sahumerio Artesano - Incienso,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX316,Sahumerio Artesano - Jazmin y rosas,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX317,Sahumerio Artesano - Yagra,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX318,Sahumerio Artesano - Te verde- Flor de champa,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX319,"Sahumerio Artesano - Citronella, Naranja palo santo",SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX320,Sahumerio Artesano - Sándalo,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX321,Sahumerio Artesano - Lemon Grass olibano,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMSAX322,Sahumerio Artesano - Rosa,SAGRADA MADRE,0,1,$-,"$3.151,63"
SMPSSTICK,Palo Santo Stick Blend,SAGRADA MADRE,0,1,$-,"$1.101,91"
SMSPAV,Sahumerio Patagonia - Algarroba y Vainilla,SAGRADA MADRE,0,1,$-,"$1.231,18"
SMSPH,Sahumerio Patagonia - Hibiscus,SAGRADA MADRE,0,1,$-,"$1.231,18"
SMSPHMM,Sahumerio Patagonia - Hierba Mate y menta,SAGRADA MADRE,0,1,$-,"$1.231,18"
SMSPLS,Sahumerio Patagonia - Lavanda silvestre,SAGRADA MADRE,0,1,$-,"$1.231,18"
SMSPL,Sahumerio Patagonia - Limon,SAGRADA MADRE,0,1,$-,"$1.231,18"
