Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
SMH1,Sahumerio hierbas Lavanda y Olíbano,SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMH2,Sahumerio hierbas Incienso blanco,SAGRADA MADRE,9,"0,09","$649,90","$72,21"
SMH3,Sahumerio hierbas Salvia blanca,SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMH4,Sahumerio hierbas Rosas y Olíbano,SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMH5,"Sahumerio hierbas Canela, Anis y Olíbano",SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMH6,"Sahumerio hierbas Calendula, Manzanilla e Incienso",SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMH7,"Sahumerio hierbas Eucalipto, Laurel y Cedro",SAGRADA MADRE,9,"0,09","$685,24","$76,14"
SMT1,Sahumerio triple 7 Chakras,SAGRADA MADRE,7,"0,07","$850,07","$121,44"
SMT2,Sahumerio triple combinado,SAGRADA MADRE,8,"0,08","$935,00","$116,88"
SMBAX41,Bomba activada 7 Poderes,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX42,Bomba activada Atrae dinero,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX43,Bomba activada Abre caminos,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX44,Bomba activada Palo santo,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX45,Bomba activada Destrabe,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX46,Bomba activada Limpieza energetica,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX47,Bomba activada Defumacion completa,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX48,Bomba activada 7 Hierbas copal,SAGRADA MADRE,4,"0,08","$221,01","$55,25"
SMBAX81,Bomba activada 7 Elementos puros.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX82,Bomba activada Yagra y Canela.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX83,Bomba activada Incienso y Mirra.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX84,Bomba activada Palo santo.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX85,Bomba activada Benjui y almizcle.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX86,Bomba activada Limpieza energetica.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX87,Bomba activada Estoraque y Alcanfor.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBAX88,Bomba activada 7 Hierbas copal.,SAGRADA MADRE,8,"0,16","$482,20","$60,27"
SMBA7C,Bomba activada 7 chakras,SAGRADA MADRE,7,"0,14","$438,90","$62,70"
SMBAH1,Bomba Herbal Armonia,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH2,Bomba Herbal Renacer,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH3,Bomba Herbal Destrabar,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH4,Bomba Herbal Fortuna,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH5,Bomba Herbal Amor,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH6,Bomba Herbal Purificar,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH7,Bomba Herbal Limpiar,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBAH8,Bomba Herbal 7 Poderes,SAGRADA MADRE,4,"0,08","$285,96","$71,49"
SMBHX3G1,Bomba Herbal XL x3gr Limpieza energetica,SAGRADA MADRE,3,"0,06","$584,29","$194,76"
SMBHX3G2,Bomba Herbal XL x3gr Purificacion energetica,SAGRADA MADRE,3,"0,06","$584,29","$194,76"
SMPA1,Perlas aromaticas Vainilla,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA2,Perlas aromaticas Frutilla,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA3,Perlas aromaticas Jazmin,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA4,Perlas aromaticas Lavanda,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA5,Perlas aromaticas Rosa,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA6,Perlas aromaticas Flores,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA7,Perlas aromaticas Coco,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA8,Perlas aromaticas Primavera,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA9,Perlas aromaticas Limon,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA10,Perlas aromaticas Hindu,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA11,Perlas aromaticas Reina de la noche,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA12,Perlas aromaticas Sandalo,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMPA13,Perlas aromaticas Surtidas - 1 de cada aroma,SAGRADA MADRE,12,"0,24","$7.627,34","$635,61"
SMSC1,Sahumo chico Limpieza energetica,SAGRADA MADRE,1,"0,10","$450,18","$450,18"
SMSD1,Sahumerio duo 7 Poderes-Renacer,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMSD2,Sahumerio duo Fortuna-Purificacion,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMSD3,Sahumerio duo Limpieza-Armonia,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMSD4,Sahumerio duo Sanar-Destrabar,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMEL1,Sahumerio Energia limpia Revitalizar,SAGRADA MADRE,4,"0,04","$619,66","$154,92"
SMEL2,Sahumerio Energia limpia Armonizar,SAGRADA MADRE,4,"0,04","$619,66","$154,92"
SMEL3,Sahumerio Energia limpia Renacer,SAGRADA MADRE,4,"0,04","$619,66","$154,92"
SMEL4,Sahumerio Energia limpia Sanar,SAGRADA MADRE,4,"0,04","$619,66","$154,92"
SMOL111,Oleum Equilibrio x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL12,Oleum Revitalizante x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL123,Oleum Purificacion x 10 ml,SAGRADA MADRE,1,"0,10","$4.249,99","$4.249,99"
SMOL13,Oleum Relajante x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL13A,Oleum Concentracion x 10 ml,SAGRADA MADRE,1,"0,10","$4.249,99","$4.249,99"
SMOL21,Oleum Calma x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL2111,Oleum Armonia x 10 ml,SAGRADA MADRE,1,"0,10","$4.249,99","$4.249,99"
SMOL22,Oleum Afrodisiaco x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL221,Oleum Limpieza energetica x 10 ml,SAGRADA MADRE,1,"0,10","$4.249,99","$4.249,99"
SMOL22A,Oleum Energia renovada x 10 ml,SAGRADA MADRE,1,"0,10","$3.322,78","$3.322,78"
SMOL311,Oleum Amor x 10 ml,SAGRADA MADRE,1,"0,10","$4.249,99","$4.249,99"
SMSEP1,Sahumerio en polvo Jazmin 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP2,Sahumerio en polvo Vainilla 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP3,Sahumerio en polvo Lavanda 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP4,Sahumerio en polvo Sandalo 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP5,Sahumerio en polvo 7 Poderes 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP6,Sahumerio en polvo Limpieza energetica 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP7,Sahumerio en polvo Yagra 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP8,Sahumerio en polvo Alcanfor 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP9,Sahumerio en polvo Benjui 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP10,Sahumerio en polvo Rosa 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP11,Sahumerio en polvo Citronella 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSEP12,Sahumerio en polvo Palo santo 60gr,SAGRADA MADRE,1,"0,01","$649,35","$649,35"
SMSB1,Sahumerio botanico- Gardenias-calendula,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB2,Sahumerio botanico- Jazmin-Rosas,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB3,Sahumerio botanico- Lavanda-Rosas,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB4,Sahumerio botanico- Te verde-Flor de champa,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB5,Sahumerio botanico- Magnolia,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB6,Sahumerio botanico- Fresias,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB7,Sahumerio botanico- Nardo incienso,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMSB8,Sahumerio botanico- Clavo de olor,SAGRADA MADRE,6,"0,06","$649,55","$108,26"
SMS5E1,Sahumerio 5 Elementos - Alegria,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMS5E2,Sahumerio 5 Elementos - Armonia,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMS5E3,Sahumerio 5 Elementos - Claridad,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMS5E4,Sahumerio 5 Elementos - Fuego,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMS5E5,Sahumerio 5 Elementos - Renacer,SAGRADA MADRE,6,"0,06","$649,43","$108,24"
SMSMBM,Sahumerio Maha Blend Masala,SAGRADA MADRE,8,"0,08","$1.217,21","$152,15"
SMSY1,Sahumerio Yagra - Violetas  lavanda,SAGRADA MADRE,6,"0,06","$678,35","$113,06"
SMSY2,Sahumerio Yagra - Rosas y vainilla,SAGRADA MADRE,6,"0,06","$678,35","$113,06"
SMSY3,Sahumerio Yagra - Orquideas y laurel,SAGRADA MADRE,6,"0,06","$678,35","$113,06"
SMSY4,Sahumerio Yagra - Manzanilla y olibano,SAGRADA MADRE,6,"0,06","$678,35","$113,06"
SMPSOM,Porta sahumerio OM,SAGRADA MADRE,1,"0,03","$452,39","$452,39"
SMPSWOOD,Porta sahumerio WOOD,SAGRADA MADRE,1,"0,03","$1.463,55","$1.463,55"
SMSSC,Sahumador Sagrado Color,SAGRADA MADRE,1,"0,10",$-,$-
SMSCE,Sahumador chico cemento,SAGRADA MADRE,1,"0,10","$793,50","$793,50"
SMSAX301,Sahumerio Artesano - Palo santo,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX302,Sahumerio Artesano - Palo santo / vainilla,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX303,Sahumerio Artesano - Palo santo / rosa,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX304,Sahumerio Artesano - Palo santo / lavanda,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX305,Sahumerio Artesano - Palo santo / champa,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX306,Sahumerio Artesano - Palo santo / jazmin,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX307,Sahumerio Artesano - Palo santo / Jengibre,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX308,Sahumerio Artesano - Copal,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX309,Sahumerio Artesano - Lavanda,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX310,Sahumerio Artesano - Flor arbol paraiso,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX311,Sahumerio Artesano - Sangre de dragon,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
